titles,addresses,clean_addresses,lat,long
OXMOOR CENTER,"7900 SHELBYVILLE ROAD, LOUISVILLE, KY,  40222","7900 SHELBYVILLE ROAD, LOUISVILLE, KY,  40222",38.246544099999994,-85.60875383233626
CASTLETON SQUARE,"6020 E 82ND ST, INDIANAPOLIS, IN,  46250-5508","6020 E 82ND ST, INDIANAPOLIS, IN,  46250-5508",39.90528,-86.06445
FAIRVIEW POINTE CLAIRE,"6801 TRANS-CANADA HWY, POINTE CLAIRE, QC,  H9R 5J2","6801 TRANS-CANADA HWY, POINTE CLAIRE, QC,  H9R 5J2",45.45708,-73.8412
CARREFOUR LAVAL,"3035 BOULEVARD LE CARREFOUR, LAVAL, QC,  H7T 1C8","3035 BOULEVARD LE CARREFOUR, LAVAL, QC,  H7T 1C8",45.5724578,-73.7530491
SUGARLOAF MILLS,"5900 SUGARLOAF PKWY, LAWRENCEVILLE, GA,  30043-7854","5900 SUGARLOAF PKWY, LAWRENCEVILLE, GA,  30043-7854",33.98032,-84.0753
NORTH POINT MALL,"1000 NORTH POINT CIRCLE #1150, ALPHARETTA, GA,  30022-4853","1000 NORTH POINT CIRCLE ALPHARETTA, GA,  30022-4853",34.0485964,-84.2940411
OPRY MILLS MALL,"416 OPRY MILLS DRIVE, SP #220, NASHVILLE, TN,  37214-2443","416 OPRY MILLS DRIVE, SP NASHVILLE, TN,  37214-2443",36.199844,-86.6927712
WATER TOWER PLACE,"835 N MICHIGAN AVE, CHICAGO, IL,  60611-2193","835 N MICHIGAN AVE, CHICAGO, IL,  60611-2193",41.897827,-87.62409
ORLAND SQUARE,"732 ORLAND SQUARE, ORLAND PARK, IL,  60462-3221","732 ORLAND SQUARE, ORLAND PARK, IL,  60462-3221",41.617832,-87.8504
NORTHBROOK COURT,"2024 NORTHBROOK CT, NORTHBROOK, IL,  60062-1411","2024 NORTHBROOK CT, NORTHBROOK, IL,  60062-1411",39.2460871,-84.5814785184761
WOODFIELD MALL,"5 WOODFIELD MALL, SCHAUMBURG, IL,  60173-5012","5 WOODFIELD MALL, SCHAUMBURG, IL,  60173-5012",42.048103,-88.03631
GURNEE MILLS,"6170 W GRAND AVE, GURNEE, IL,  60031","6170 W GRAND AVE, GURNEE, IL,  60031",42.38333,-87.95514
MAYFAIR,"2500 N. MAYFAIR RD, SPACE 0635, WAUWATOSA, WI,  53226-1409","2500 N. MAYFAIR RD, SPACE 0635, WAUWATOSA, WI,  53226-1409",43.06395,-88.04333
ST JOHNS TOWN CENTER,"4764 RIVER CITY DRIVE, JACKSONVILLE, FL,  32246","4764 RIVER CITY DRIVE, JACKSONVILLE, FL,  32246",30.2601932,-81.5250543
WEST COUNTY CENTER,"55 WEST COUNTY CENTER, DES PERES, MO,  63131-3701","55 WEST COUNTY CENTER, DES PERES, MO,  63131-3701",38.60058415,-90.44725844297534
DISNEY SPRINGS®,"1672 E BUENA VISTA DR, LAKE BUENA VISTA, FL,  32830-8401","1672 E BUENA VISTA DR, LAKE BUENA VISTA, FL,  32830-8401",28.3697104,-81.5354455
WESTFIELD BRANDON MALL,"459 BRANDON TOWN CTR DRIVE, BRANDON, FL,  33511","459 BRANDON TOWN CTR DRIVE, BRANDON, FL,  33511",27.931633,-82.32336
TOWN CENTER AT BOCA RATON,"6000 GLADES ROAD, BOCA RATON, FL,  33431","6000 GLADES ROAD, BOCA RATON, FL,  33431",26.368694,-80.136116
SAWGRASS MILLS MALL,"12801 W SUNRISE BLVD, SP. 1011, SUNRISE, FL,  33323-4007","12801 W SUNRISE BLVD, SP. 1011, SUNRISE, FL,  33323-4007",26.15148,-80.32105
AVENTURA MALL,"19575 BISCAYNE BLVD, RM 353, MIAMI, FL,  33180-2331","19575 BISCAYNE BLVD, RM 353, MIAMI, FL,  33180-2331",25.9574,-80.14188
MALL OF AMERICA®,"164 SOUTH AVENUE, BLOOMINGTON, MN,  55425-5525","164 SOUTH AVENUE, BLOOMINGTON, MN,  55425-5525",44.8322405,-93.3204872
DADELAND MALL,"7535 N KENDALL DRIVE, MIAMI, FL,  33156","7535 N KENDALL DRIVE, MIAMI, FL,  33156",25.690726050000002,-80.31216790347332
OAK PARK MALL,"11149 WEST 95TH STREET, # 18A, OVERLAND PARK, KS,  66214-1824","11149 WEST 95TH STREET, 18A, OVERLAND PARK, KS,  66214-1824",38.95645,-94.71508
LAKESIDE SHOPPING CENTER,"3301 VETERANS MEMORIAL BLVD, METAIRIE, LA,  70002","3301 VETERANS MEMORIAL BLVD, METAIRIE, LA,  70002",30.002721,-90.150566
PENN SQUARE MALL,"1901 NW EXPRESSWAY STE 1058B, OKLAHOMA CITY, OK,  73118-9217","1901 NW EXPRESSWAY STE 1058B, OKLAHOMA CITY, OK,  73118-9217",33.9758564,-96.3914253
STONEBRIAR CENTRE,"2601 PRESTON RD STE 1222, FRISCO, TX,  75034-9472","2601 PRESTON RD STE 1222, FRISCO, TX,  75034-9472",33.099850000000004,-96.81055
NORTHPARK CENTER,"8687 N CENTRAL EXPY STE 770, DALLAS, TX,  75225-4565","8687 N CENTRAL EXPY STE 770, DALLAS, TX,  75225-4565",32.86936,-96.77086
THE WOODLANDS MALL,"1201 LAKE WOODLANDS DR # 01182, THE WOODLANDS, TX,  77380-5007","1201 LAKE WOODLANDS DR 01182, THE WOODLANDS, TX,  77380-5007",30.16461,-95.45373
BAYBROOK MALL,"500 BAYBROOK MALL, FRIENDSWOOD, TX,  77546-2751","500 BAYBROOK MALL, FRIENDSWOOD, TX,  77546-2751",29.54318,-95.15226
WILLOWBROOK MALL,"1568 WILLOWBROOK MALL, HOUSTON, TX,  77070","1568 WILLOWBROOK MALL, HOUSTON, TX,  77070",29.95999905,-95.53896623883111
THE GALLERIA,"5015 WESTHEIMER, SUITE A3319, HOUSTON, TX,  77056-5602","5015 WESTHEIMER, SUITE A3319, HOUSTON, TX,  77056-5602",29.740726,-95.46225
POLO PARK,"1485 PORTAGE AVE, UNIT 0210A, WINNIPEG, MB,  R3G 0W4","1485 PORTAGE AVE, UNIT 0210A, WINNIPEG, MB,  R3G 0W4",49.88391,-97.19802
BARTON CREEK SQUARE,"2901 S CAPITAL OF TEXAS HWY, AUSTIN, TX,  78746","2901 S CAPITAL OF TEXAS HWY, AUSTIN, TX,  78746",30.257680399999998,-97.80667211089965
LA ISLA CANCUN,"Boulevard Kukulkán Mz. 52 Lote 18-06, Cancún, Quintana Roo,  77500","Boulevard Kukulkán Mz. 52 Lote 18-06, Cancún, Quintana Roo,  77500",21.15622,-86.82206
NORTHSTAR MALL,"7400 SAN PEDRO AVE., SAN ANTONIO, TX,  78216-5399","7400 SAN PEDRO AVE., SAN ANTONIO, TX,  78216-5399",29.517042,-98.49925
PARK MEADOWS,"8401 PARK MEADOWS CTR DR #1175, LONE TREE, CO,  80124-5128","8401 PARK MEADOWS CTR DR LONE TREE, CO,  80124-5128",39.56215,-104.87501
COLORADO MILLS,"14500 W COLFAX AVE, LAKEWOOD, CO,  80401-3203","14500 W COLFAX AVE, LAKEWOOD, CO,  80401-3203",39.73189655,-105.15530455642715
LA PLAZA MALL,"2200 S 10TH STREET, MCALLEN, TX,  78503","2200 S 10TH STREET, MCALLEN, TX,  78503",26.183102,-98.233536
PUNTO VALLE,"Rio Missouri 555, Monterrey, Nuevo Leon,  66220","Rio Missouri 555, Monterrey, Nuevo Leon,  66220",25.7544036,-100.405992
GALERIAS PACHUCA,"Camino Real de La Plata 102, Pachuca, Hidalgo,  42083","Camino Real de La Plata 102, Pachuca, Hidalgo,  42083",20.0953337,-98.769027
FASHION PLACE MALL,"6191 SOUTH STATE STREET, MURRAY, UT,  84107","6191 SOUTH STATE STREET, MURRAY, UT,  84107",40.6304959,-111.8896731
GALERIAS QUERETARO,"Av. 5 de Febrero 99, Querétaro, Querétaro,  76175","Av. 5 de Febrero 99, Querétaro, Querétaro,  76175",20.653533,-103.33114
PERISUR,"Anillo Perif. Blvd. Adolfo López Mateos 4690, Ciudad de México, 04500","Anillo Perif. Blvd. Adolfo López Mateos 4690, Ciudad de México, 04500",19.37944,-99.19153
SANTA FE,"Avenida Vasco de Quiroga 3800, Ciudad de México, CDMX,  05109","Avenida Vasco de Quiroga 3800, Ciudad de México, CDMX,  05109",19.3613681,-99.2744816
ALTACIA,"Blvd. Aeropuerto No.104, León, Guanajuato,  37530","Blvd. Aeropuerto No.104, León, Guanajuato,  37530",21.0971444,-101.6292658
CHANDLER FASHION CENTER,"3111 W. CHANDLER BLVD, CHANDLER, AZ,  85226-5071","3111 W. CHANDLER BLVD, CHANDLER, AZ,  85226-5071",33.305775,-111.89679
CHINOOK CENTRE,"6455 MACLEOD TRAIL SW, SP 203, CALGARY, AB,  T2H 0K8","6455 MACLEOD TRAIL SW, SP 203, CALGARY, AB,  T2H 0K8",50.99821,-114.07433
ARROWHEAD TOWNE CENTER,"7700 W. ARROWHEAD TOWNE CTR, GLENDALE, AZ,  85308","7700 W. ARROWHEAD TOWNE CTR, GLENDALE, AZ,  85308",33.64413,-112.22593
SOUTHGATE CENTRE,"5015-111 ST NW SPACE #424, EDMONTON, AB,  T6H 4M6","5015-111 ST NW SPACE EDMONTON, AB,  T6H 4M6",53.48572,-113.51556
WEST EDMONTON,"8882-170th Street, Edmonton, AB,  T5T 4M2","8882-170th Street, Edmonton, AB,  T5T 4M2",53.5659347,-113.6158738
