titles,addresses,clean_addresses,lat,long
LIVERPOOL,"LIVERPOOL ONE SHOPPING CTR, LIVERPOOL, L1 8BJ","LIVERPOOL ONE SHOPPING CTR, LIVERPOOL, L1 8BJ",53.4067681,-2.9846015
CARDIFF,"ST DAVIDS DEWI SANT, CARDIFF, CF10 2EF","ST DAVIDS DEWI SANT, CARDIFF, CF10 2EF",51.47789,-3.17325
MANCHESTER,"ARNDALE SHOPPING CENTRE, MANCHESTER, M4 3AQ","ARNDALE SHOPPING CENTRE, MANCHESTER, M4 3AQ",53.48256,-2.24153
METROCENTRE NEWCASTLE,"UNIT 73, METROCENTRE, GATESHEAD, TW,  NE11 9YG","UNIT 73, METROCENTRE, GATESHEAD, TW,  NE11 9YG",54.95677,-1.66458
BRISTOL,"Cabot Circus, Glass House, BRISTOL, BS1 3BX","Cabot Circus, Glass House, BRISTOL, BS1 3BX",53.75716,-0.32783
LEEDS,"ALBION STREET, UNIT 3.12 TRINITY LEEDS, LEEDS, WEST YORKSHIRE,  LS1 5AT","ALBION STREET, UNIT 3.12 TRINITY LEEDS, LEEDS, WEST YORKSHIRE,  LS1 5AT",53.79655,-1.54519
BIRMINGHAM,"Bullring Shopping Centre, Birmingham, B5 4BU","Bullring Shopping Centre, Birmingham, B5 4BU",52.476941100000005,-1.8949822569142707
SHEFFIELD,"MEADOWHALL SHOPPING CENTRE, SHEFFIELD, S9 1EN","MEADOWHALL SHOPPING CENTRE, SHEFFIELD, S9 1EN",53.413843799999995,-1.4124143043282515
SOUTHAMPTON WEST QUAY,"Westquay Shopping Centre, Southampton, SO15 1QF","Westquay Shopping Centre, Southampton, SO15 1QF",50.903674300000006,-1.4066887567106845
MILTON KEYNES,"33 MIDSUMMER PLACE, MILTON KEYNES, MK9 3GB","33 MIDSUMMER PLACE, MILTON KEYNES, MK9 3GB",52.040823,-0.7565344293343611
WATFORD,"INTU WATFORD, WATFORD, WD17 2UB","INTU WATFORD, WATFORD, WD17 2UB",51.65509055,-0.3927260626735219
LONDON WESTFIELD,"ARIEL WAY, SHEPHERD'S BUSH, LONDON, W12 7GF","ARIEL WAY, SHEPHERD'S BUSH, LONDON, W12 7GF",51.5096078,-0.2203519
LEICESTER SQUARE,"3 SWISS COURT, LONDON, LO,  W1D 6AP","3 SWISS COURT, LONDON, LO,  W1D 6AP",51.5473693,-0.1811541
LONDON STRATFORD,"WESTFIELD STRATFORD CITY, WESTFIELD STRATFORD CITY, E20 1EH","WESTFIELD STRATFORD CITY, WESTFIELD STRATFORD CITY, E20 1EH",51.543018000000004,-0.01269
